NoEntry0, 159, 244, 44, 44
NoEntry0, 604, 245, 46, 44
NoEntry1, 178, 111, 65, 90
NoEntry2, 367, 141, 128, 123
NoEntry3, 21, 0, 84, 85
NoEntry3, 415, 10, 172, 180
NoEntry4, 196, 179, 40, 46
NoEntry4, 745, 209, 38, 47
NoEntry5, 128, 313, 34, 40
NoEntry5, 309, 331, 25, 34
NoEntry5, 433, 344, 20, 29
NoEntry5, 525, 354, 18, 25
NoEntry5, 598, 364, 13, 21
NoEntry5, 652, 369, 13, 19
NoEntry5, 696, 376, 13, 16
NoEntry5, 736, 380, 9, 15
NoEntry5, 846, 383, 9, 14
NoEntry5, 868, 385, 8, 13
NoEntry6, 185, 322, 138, 138
NoEntry6, 382, 214, 195, 203
NoEntry6, 598, 228, 168, 218
NoEntry6, 808, 413, 35, 128
NoEntry7, 555, 176, 33, 33
NoEntry8, 198, 79, 99, 97
NoEntry8, 147, 181, 56, 56
NoEntry8, 106, 238, 41, 41
NoEntry8, 87, 262, 32, 32
NoEntry8, 78, 276, 19, 27
NoEntry8, 69, 294, 19, 21
NoEntry8, 65, 308, 11, 13
NoEntry8, 62, 312, 8, 11
NoEntry8, 57, 315, 8, 12
NoEntry9, 469, 576, 54, 52
NoEntry9, 734, 854, 12, 12
NoEntry10, 235, 136, 74, 77
NoEntry10, 505, 155, 89, 89
NoEntry10, 582, 174, 49, 62
NoEntry11, 54, 218, 56, 56
NoEntry11, 444, 164, 85, 80
NoEntry12, 98, 240, 79, 80
NoEntry12, 247, 184, 45, 47
NoEntry12, 300, 120, 26, 40
NoEntry12, 437, 83, 22, 32
NoEntry12, 628, 69, 9, 28
NoEntry12, 660, 118, 27, 40
NoEntry12, 742, 174, 17, 53
NoEntry12, 820, 250, 76, 79
NoEntry13, 383, 579, 51, 50
NoEntry14, 431, 287, 57, 58
NoEntry15, 328, 126, 52, 50
NoEntry15, 388, 124, 53, 53 
